ADIDAS ULTRABOOST X LEGO COLORS SHOES (1 PAIR PER CUSTOMER),2560000,HIGH-PERFORMANCE RUNNING SHOES MADE IN PARTNERSHIP WITH THE LEGO GROUP.,"Running is your time to play. And if you couldn't tell by the pops of colour and LEGO® bricks inspired design, these adidas running shoes created with the LEGO Group are all about play. Play, and comfort. Because nothing needs to get in the way of a good time. A plush Boost midsole takes care of the cushioning, and the Continental™ Better Rubber outsole balances fast moves with steady grounding.",12,33,list_products/59.jpg
SEPATU HARDEN VOL. 5 FUTURENATURAL TOKYO,1400000,PRODUK TERKINI DARI ADIDAS BASKETBALL DAN JAMES HARDEN.,"Harden Vol. 5 dari adidas Basketball memiliki fit dan penguncian revolusioner untuk bergerak bebas dengan maksimal saat berada di lapangan basket, terinspirasi kecepatan dan kemampuan James Harden yang tak tertandingi untuk mengubah arah saat mendribel bola. Teknologi Futurenatural memperkenalkan sistem fit baru dan konstruksi tanpa jahitan untuk menghasilkan kontrol yang optimal. Kombinasi midsole Boost dan keunggulan Lightstrike yang ringan menghasilkan kenyamanan dan stabilitas yang dibutuhkan salah satu pencetak skor paling dinamis dalam pertandingan untuk selalu mendominasi panggung terbesar dunia. Produk ini dibuat dengan konten hasil daur ulang sebagai bagian dari ambisi kami untuk mengurangi pencemaran limbah plastik. 20% dari material yang digunakan dalam upper dibuat dengan minimum 50% konten hasil daur ulang.",11,78,list_products/60.jpg
SEPATU FUTSAL PREDATOR FREAK.3 INDOOR,1200000,SEPATU FUTSAL LOW-CUT YANG MEMBANTUMU MENGONTROL PERMAINAN DI LAPANGAN DENGAN PERMUKAAN DATAR.,"Di luar dinding ini, sulit untuk membuat dirimu terdengar. Namun di lapangan, kamu menjadi pengendali. Bebaskan kepribadian unikmu dengan adidas Predator. Sepatu futsal ini memiliki upper berbahan mesh lembut yang dilengkapi lapisan untuk membantumu mendominasi permainan dengan nyaman. Desain low-cut membuat sepatu ini mudah untuk dipakai dan dilepas. Ekspansi lebar elemen Demonscale dengan proses cetak 3D mencengkeram bola untuk membuatmu tetap fokus.",11,30,list_products/3.jpg
SEPATU ULTRABOOST DNA GUARD,3200000,"SEPATU RUNNING YANG DILENGKAPI BANTALAN, INSULASI SERTA AKSEN REFLEKTIF.","Cuaca mendung berarti suasana jalanan menjadi sedikit lebih tenang. Pakai sepatu running adidas ini dan maksimalkan keunggulanmu. COLD.RDY membuatmu tetap nyaman dengan teknologi insulasi sehingga kamu tetap merasa hangat dalam suhu yang rendah — karena suhu yang menurun tidak berarti mengganggu rutinitasmu. Ketika kamu memacu diri, upper adidas Primeknit yang fleksibel beradaptasi dengan perubahan bentuk kaki dan bantalan Boost membuat kakimu terasa nyaman.",11,100,list_products/4.jpg
GAMEMODE TURF BOOTS,1200000,SOFT SYNTHETIC BOOTS IN MAN UTD COLOURS.,"Every court is a platform. Every cage a stage. Where some players picture hard work, others see opportunity. The choice is yours. Express your beautiful game in adidas Gamemode. These football boots have a HybridTouch upper for a lightweight feel and soft touch. The universal fit and EVA cushioning add comfort. Underneath, a lugged outsole helps you display your skills on artificial turf. Up top, Manchester United's colours and badge show you stand with your club.",12,43,list_products/5.jpg
SEPATU FUTSAL RAJUT GAMEMODE INDOOR,1200000,SEPATU BERBAHAN TEKSTIL RAJUT YANG LEMBUT DENGAN WARNA ARSENAL.,"Setiap lapangan menjadi platform. Setiap arena menjadi panggung. Ketika beberapa pemain memperlihatkan kerja keras, yang lain melihat peluang. Pilihan ada di tanganmu. Ekspresikan permainan menawanmu dengan adidas Gamemode. Sepatu futsal ini memiliki upper rajut dari bahan tekstil yang lembut dan elastis untuk membuat sepatu mudah dipakai dan mengunci dengan pas. Fit universal dan bantalan EVA menambah kenyamanan. Di bagian bawah, outsole dari bahan karet dengan daya cengkeram kuat membantumu menunjukkan kemampuan di lapangan dengan permukaan rata. Di bagian atas, warna dan emblem Arsenal menunjukkan dukungan pada klub favoritmu.",13,42,list_products/6.jpg
SEPATU ADIDAS 4D FUTURECRAFT,4000000,SEPATU RUNNING DENGAN BANTALAN YANG DIDESAIN SECARA CERMAT UNTUK KENYAMANAN SETIAP HARI.,Aktivitas lari menghadirkan fokus yang cermat ke masa kini. Sepatu running adidas ini membawamu tanpa ragu ke masa depan. Midsole adidas 4D yang mutakhir berdasarkan data aktivitas lari selama 17 tahun dan didesain khusus secara digital untuk memadukan kenyamanan dalam setiap langkah. Upper adidas Primeknit memastikan sensasi penguncian yang beradaptasi dengan kaki dalam siklus gerakan langkahmu.,12,39,list_products/7.jpg
BARRICADE SHOES,2200000,CONTROL THE COURT IN THESE SUPPORTIVE SHOES.,"Without control, there are no guarantees on court. So Barricade is back to help you dominate. The intuitive lacing system on these adidas tennis shoes locks you in by pulling down the neoprene tongue to match your foot shape. A Geofit system in the heel fills the remaining gaps to complete the connection. Underneath, a cushioned Bounce midsole and TPU midfoot shank keep every step comfortable and stable. That bold adidas wordmark on the medial side is made from tough RPU to combat wear from foot drag.",12,44,list_products/8.jpg
SEPATU BOLA PREDATOR FREAK.3 FIRM GROUND,1300000,SEPATU BOLA MID-CUT YANG MEMBANTUMU MENGONTROL PERTANDINGAN DI LAPANGAN FIRM GROUND.,"Setiap kali kamu melewati garis putih itu, kamu memasuki dunia baru. Sebuah realitas alternatif di mana kamu melakukan tendangan. Lapangan ada dalam genggamanmu. Bebaskan ide unikmu dengan adidas Predator. Sepatu bola ini memiliki upper berbahan tekstil dengan lapisan untuk membantumu mendominasi permainan dengan nyaman. Desain mid-cut menopang pergelangan kakimu. Ekspansi lebar elemen Demonscale dengan proses cetak 3D mencengkeram bola untuk membuatmu tetap fokus.",11,38,list_products/9.jpg
SEPATU ULTRA 4D,4000000,SEPATU RUNNING YANG DIRANCANG UNTUK ATLET DAN OLEH ATLET.,"Pada debut adidas Ultraboost di tahun 2015, sepatu ini memiliki dampak yang tersebar hingga di luar dunia olahraga lari. Untuk versi sepatu ini, kami menghadirkan desain baru dengan midsole cetak 3D. Konstruksi lebih padat di bagian lattice memberikan topangan yang lebih baik, dan bagian yang terbuka terasa lebih empuk. Sepatu ini tidak hanya terlihat seperti sepatu masa depan. Namun, sensasi dipakainya juga terasa demikian.",13,35,list_products/10.jpg
SEPATU FUTSAL TOP SALA,1000000,SEPATU YANG BREATHABLE UNTUK DIPAKAI DI LAPANGAN FUTSAL.,"Ubah pertahanan menjadi serangan balik dalam sekejap mata. Dioptimalkan untuk futsal bertempo cepat, sepatu futsal adidas ini dilengkapi outsole dari bahan karet yang dibuat untuk gerakan eksplosif di permukaan indoor yang rata. Material kulit sintetis di bagian forefoot mengurangi dampak benturan dan gesekan saat Anda melakukan aksi terbaik Anda. Bahan mesh di bagian quarter membantu kaki tetap merasa sejuk dalam tempo permainan cepat.",12,42,list_products/11.jpg
DAME 7 EXTPLY SHOES,1900000,THE LATEST FROM ADIDAS BASKETBALL AND DAMIAN LILLARD.,"It's not easy to be at the top of your game in basketball and hip hop. The Dame 7 EXTPLY shoes from adidas Basketball mixes the love for both of Damian Lillard's passions. Each ""track"" of these basketball shoes is studio inspired. Dame never cheats the grind, asserting himself as the best baller to ever grace the booth, period. Introducing: Dame D.O.L.L.A. This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",11,93,list_products/12.jpg
SEPATU SL20.2,1800000,SEPATU SNEAKER RINGAN YANG RESPONSIF UNTUK BERBAGAI AKTIVITAS SEHARIAN.,"Setiap kali kamu memijakkan kaki di jalanan, bumi pun akan hadir menjadi pijakanmu. Sepatu adidas SL20.2 ini sebagai balas budi kebaikan bumi, karenanya dibuat dari material hasil daur ulang. Mitra latihan yang ideal, sepatu ini menopang setiap langkah dengan upper berbahan mesh fleksibel dan outsole karet dengan traksi tinggi. Lightstrike meningkatkan kenyamanan dengan sensasi super-ringan yang responsif sehingga membantumu melaju dengan cepat dan percaya diri. Produk ini dibuat dengan Primegreen, rangkaian material hasil daur ulang beperforma tinggi. 50% dari upper berbahan konten hasil daur ulang. Tanpa virgin poliester.",13,99,list_products/13.jpg
